episode,timestep,reward
1694,2146500,115.638
1697,2151000,127.084
1700,2155500,168.5762
1704,2160000,112.8461
1708,2164500,109.1272
1711,2169000,176.1636
1714,2173500,184.8342
1717,2178000,176.5302
1720,2182500,125.5799
1723,2187000,85.138
1727,2191500,129.4843
1730,2196000,177.076
1733,2200500,170.4099
1736,2205000,125.1932
1739,2209500,67.2759
1742,2214000,166.6288
1747,2218500,31.0957
1750,2223000,172.0984
1754,2227500,53.4547
1757,2232000,118.2471
1761,2236500,121.626
1764,2241000,179.666
1767,2245500,102.3947
1771,2250000,70.7991
1774,2254500,136.6714
1778,2259000,120.0121
1781,2263500,171.7909
1784,2268000,160.2422
1789,2272500,41.0909
1793,2277000,95.7456
1796,2281500,127.5607
1799,2286000,169.2488
1803,2290500,66.7332
1806,2295000,163.5194
1809,2299500,56.3711
1812,2304000,159.1761
1816,2308500,111.7311
1819,2313000,176.7021
1822,2317500,161.1503
1826,2322000,126.8667
1830,2326500,108.9614
1833,2331000,175.5323
1836,2335500,184.0759
1839,2340000,53.1313
1842,2344500,136.6618
1847,2349000,81.1946
1850,2353500,128.4198
1853,2358000,105.8891
1856,2362500,170.7865
1860,2367000,101.6089
